Month,Industries_luok,Information,value
2014M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2014M08,Construction,"Bankruptcies instigated, number of enterprises",72
2014M08,Trade,"Bankruptcies instigated, number of enterprises",55
2014M08,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2014M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",19
2014M08,Other service activities,"Bankruptcies instigated, number of enterprises",73
2014M08,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2014M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2014M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2014M09,Construction,"Bankruptcies instigated, number of enterprises",57
2014M09,Trade,"Bankruptcies instigated, number of enterprises",49
2014M09,Transport and storage,"Bankruptcies instigated, number of enterprises",22
2014M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",23
2014M09,Other service activities,"Bankruptcies instigated, number of enterprises",65
2014M09,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2014M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2014M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2014M10,Construction,"Bankruptcies instigated, number of enterprises",44
2014M10,Trade,"Bankruptcies instigated, number of enterprises",52
2014M10,Transport and storage,"Bankruptcies instigated, number of enterprises",23
2014M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2014M10,Other service activities,"Bankruptcies instigated, number of enterprises",74
2014M10,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2014M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2014M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2014M11,Construction,"Bankruptcies instigated, number of enterprises",46
2014M11,Trade,"Bankruptcies instigated, number of enterprises",42
2014M11,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2014M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",20
2014M11,Other service activities,"Bankruptcies instigated, number of enterprises",75
2014M11,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2014M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2014M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",19
2014M12,Construction,"Bankruptcies instigated, number of enterprises",41
2014M12,Trade,"Bankruptcies instigated, number of enterprises",40
2014M12,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2014M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",21
2014M12,Other service activities,"Bankruptcies instigated, number of enterprises",61
2014M12,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2015M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2015M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",28
2015M01,Construction,"Bankruptcies instigated, number of enterprises",66
2015M01,Trade,"Bankruptcies instigated, number of enterprises",35
2015M01,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2015M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",16
2015M01,Other service activities,"Bankruptcies instigated, number of enterprises",60
2015M01,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2015M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2015M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",32
2015M02,Construction,"Bankruptcies instigated, number of enterprises",32
2015M02,Trade,"Bankruptcies instigated, number of enterprises",35
2015M02,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2015M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",19
2015M02,Other service activities,"Bankruptcies instigated, number of enterprises",62
2015M02,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2015M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2015M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",34
2015M03,Construction,"Bankruptcies instigated, number of enterprises",60
2015M03,Trade,"Bankruptcies instigated, number of enterprises",59
2015M03,Transport and storage,"Bankruptcies instigated, number of enterprises",10
2015M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2015M03,Other service activities,"Bankruptcies instigated, number of enterprises",75
2015M03,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2015M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2015M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",22
2015M04,Construction,"Bankruptcies instigated, number of enterprises",35
2015M04,Trade,"Bankruptcies instigated, number of enterprises",50
2015M04,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2015M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",20
2015M04,Other service activities,"Bankruptcies instigated, number of enterprises",60
2015M04,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2015M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2015M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",23
2015M05,Construction,"Bankruptcies instigated, number of enterprises",42
2015M05,Trade,"Bankruptcies instigated, number of enterprises",48
2015M05,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2015M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",22
2015M05,Other service activities,"Bankruptcies instigated, number of enterprises",77
2015M05,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2015M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2015M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",17
2015M06,Construction,"Bankruptcies instigated, number of enterprises",57
2015M06,Trade,"Bankruptcies instigated, number of enterprises",58
2015M06,Transport and storage,"Bankruptcies instigated, number of enterprises",28
2015M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",13
2015M06,Other service activities,"Bankruptcies instigated, number of enterprises",75
2015M06,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2015M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2015M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",15
2015M07,Construction,"Bankruptcies instigated, number of enterprises",36
2015M07,Trade,"Bankruptcies instigated, number of enterprises",27
2015M07,Transport and storage,"Bankruptcies instigated, number of enterprises",9
2015M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",21
2015M07,Other service activities,"Bankruptcies instigated, number of enterprises",45
2015M07,Industry unknown,"Bankruptcies instigated, number of enterprises",9
2015M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2015M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",18
2015M08,Construction,"Bankruptcies instigated, number of enterprises",45
2015M08,Trade,"Bankruptcies instigated, number of enterprises",37
2015M08,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2015M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2015M08,Other service activities,"Bankruptcies instigated, number of enterprises",51
2015M08,Industry unknown,"Bankruptcies instigated, number of enterprises",5
2015M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2015M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",16
2015M09,Construction,"Bankruptcies instigated, number of enterprises",44
2015M09,Trade,"Bankruptcies instigated, number of enterprises",47
2015M09,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2015M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2015M09,Other service activities,"Bankruptcies instigated, number of enterprises",65
2015M09,Industry unknown,"Bankruptcies instigated, number of enterprises",6
2015M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2015M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2015M10,Construction,"Bankruptcies instigated, number of enterprises",32
2015M10,Trade,"Bankruptcies instigated, number of enterprises",44
2015M10,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2015M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2015M10,Other service activities,"Bankruptcies instigated, number of enterprises",75
2015M10,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2015M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2015M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",18
2015M11,Construction,"Bankruptcies instigated, number of enterprises",40
2015M11,Trade,"Bankruptcies instigated, number of enterprises",40
2015M11,Transport and storage,"Bankruptcies instigated, number of enterprises",9
2015M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",13
2015M11,Other service activities,"Bankruptcies instigated, number of enterprises",62
2015M11,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2015M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2015M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2015M12,Construction,"Bankruptcies instigated, number of enterprises",33
2015M12,Trade,"Bankruptcies instigated, number of enterprises",41
2015M12,Transport and storage,"Bankruptcies instigated, number of enterprises",13
2015M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2015M12,Other service activities,"Bankruptcies instigated, number of enterprises",50
2015M12,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2016M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2016M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2016M01,Construction,"Bankruptcies instigated, number of enterprises",48
2016M01,Trade,"Bankruptcies instigated, number of enterprises",39
2016M01,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2016M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2016M01,Other service activities,"Bankruptcies instigated, number of enterprises",49
2016M01,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2016M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2016M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",26
2016M02,Construction,"Bankruptcies instigated, number of enterprises",62
2016M02,Trade,"Bankruptcies instigated, number of enterprises",62
2016M02,Transport and storage,"Bankruptcies instigated, number of enterprises",19
2016M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",25
2016M02,Other service activities,"Bankruptcies instigated, number of enterprises",64
2016M02,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2016M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",11
2016M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",29
2016M03,Construction,"Bankruptcies instigated, number of enterprises",50
2016M03,Trade,"Bankruptcies instigated, number of enterprises",43
2016M03,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2016M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",20
2016M03,Other service activities,"Bankruptcies instigated, number of enterprises",66
2016M03,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2016M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",9
2016M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2016M04,Construction,"Bankruptcies instigated, number of enterprises",40
2016M04,Trade,"Bankruptcies instigated, number of enterprises",50
2016M04,Transport and storage,"Bankruptcies instigated, number of enterprises",10
2016M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2016M04,Other service activities,"Bankruptcies instigated, number of enterprises",62
2016M04,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2016M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2016M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",22
2016M05,Construction,"Bankruptcies instigated, number of enterprises",33
2016M05,Trade,"Bankruptcies instigated, number of enterprises",50
2016M05,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2016M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",21
2016M05,Other service activities,"Bankruptcies instigated, number of enterprises",72
2016M05,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2016M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2016M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",19
2016M06,Construction,"Bankruptcies instigated, number of enterprises",39
2016M06,Trade,"Bankruptcies instigated, number of enterprises",41
2016M06,Transport and storage,"Bankruptcies instigated, number of enterprises",21
2016M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2016M06,Other service activities,"Bankruptcies instigated, number of enterprises",52
2016M06,Industry unknown,"Bankruptcies instigated, number of enterprises",13
2016M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2016M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",8
2016M07,Construction,"Bankruptcies instigated, number of enterprises",23
2016M07,Trade,"Bankruptcies instigated, number of enterprises",25
2016M07,Transport and storage,"Bankruptcies instigated, number of enterprises",9
2016M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2016M07,Other service activities,"Bankruptcies instigated, number of enterprises",47
2016M07,Industry unknown,"Bankruptcies instigated, number of enterprises",5
2016M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2016M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",18
2016M08,Construction,"Bankruptcies instigated, number of enterprises",36
2016M08,Trade,"Bankruptcies instigated, number of enterprises",42
2016M08,Transport and storage,"Bankruptcies instigated, number of enterprises",19
2016M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",16
2016M08,Other service activities,"Bankruptcies instigated, number of enterprises",65
2016M08,Industry unknown,"Bankruptcies instigated, number of enterprises",7
2016M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2016M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",24
2016M09,Construction,"Bankruptcies instigated, number of enterprises",47
2016M09,Trade,"Bankruptcies instigated, number of enterprises",35
2016M09,Transport and storage,"Bankruptcies instigated, number of enterprises",25
2016M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2016M09,Other service activities,"Bankruptcies instigated, number of enterprises",59
2016M09,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2016M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2016M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",27
2016M10,Construction,"Bankruptcies instigated, number of enterprises",59
2016M10,Trade,"Bankruptcies instigated, number of enterprises",42
2016M10,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2016M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",23
2016M10,Other service activities,"Bankruptcies instigated, number of enterprises",81
2016M10,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2016M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2016M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",13
2016M11,Construction,"Bankruptcies instigated, number of enterprises",22
2016M11,Trade,"Bankruptcies instigated, number of enterprises",33
2016M11,Transport and storage,"Bankruptcies instigated, number of enterprises",11
2016M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",20
2016M11,Other service activities,"Bankruptcies instigated, number of enterprises",54
2016M11,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2016M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2016M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",11
2016M12,Construction,"Bankruptcies instigated, number of enterprises",17
2016M12,Trade,"Bankruptcies instigated, number of enterprises",23
2016M12,Transport and storage,"Bankruptcies instigated, number of enterprises",7
2016M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",12
2016M12,Other service activities,"Bankruptcies instigated, number of enterprises",24
2016M12,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2017M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2017M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",11
2017M01,Construction,"Bankruptcies instigated, number of enterprises",30
2017M01,Trade,"Bankruptcies instigated, number of enterprises",34
2017M01,Transport and storage,"Bankruptcies instigated, number of enterprises",12
2017M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",9
2017M01,Other service activities,"Bankruptcies instigated, number of enterprises",41
2017M01,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2017M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2017M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",12
2017M02,Construction,"Bankruptcies instigated, number of enterprises",29
2017M02,Trade,"Bankruptcies instigated, number of enterprises",30
2017M02,Transport and storage,"Bankruptcies instigated, number of enterprises",9
2017M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",16
2017M02,Other service activities,"Bankruptcies instigated, number of enterprises",43
2017M02,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2017M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2017M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2017M03,Construction,"Bankruptcies instigated, number of enterprises",41
2017M03,Trade,"Bankruptcies instigated, number of enterprises",39
2017M03,Transport and storage,"Bankruptcies instigated, number of enterprises",8
2017M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2017M03,Other service activities,"Bankruptcies instigated, number of enterprises",40
2017M03,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2017M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2017M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",14
2017M04,Construction,"Bankruptcies instigated, number of enterprises",54
2017M04,Trade,"Bankruptcies instigated, number of enterprises",34
2017M04,Transport and storage,"Bankruptcies instigated, number of enterprises",12
2017M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2017M04,Other service activities,"Bankruptcies instigated, number of enterprises",55
2017M04,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2017M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2017M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",30
2017M05,Construction,"Bankruptcies instigated, number of enterprises",59
2017M05,Trade,"Bankruptcies instigated, number of enterprises",45
2017M05,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2017M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2017M05,Other service activities,"Bankruptcies instigated, number of enterprises",66
2017M05,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2017M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2017M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",23
2017M06,Construction,"Bankruptcies instigated, number of enterprises",47
2017M06,Trade,"Bankruptcies instigated, number of enterprises",42
2017M06,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2017M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2017M06,Other service activities,"Bankruptcies instigated, number of enterprises",56
2017M06,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2017M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2017M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",18
2017M07,Construction,"Bankruptcies instigated, number of enterprises",29
2017M07,Trade,"Bankruptcies instigated, number of enterprises",32
2017M07,Transport and storage,"Bankruptcies instigated, number of enterprises",12
2017M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2017M07,Other service activities,"Bankruptcies instigated, number of enterprises",47
2017M07,Industry unknown,"Bankruptcies instigated, number of enterprises",8
2017M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2017M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",18
2017M08,Construction,"Bankruptcies instigated, number of enterprises",43
2017M08,Trade,"Bankruptcies instigated, number of enterprises",37
2017M08,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2017M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",19
2017M08,Other service activities,"Bankruptcies instigated, number of enterprises",50
2017M08,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2017M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2017M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",26
2017M09,Construction,"Bankruptcies instigated, number of enterprises",38
2017M09,Trade,"Bankruptcies instigated, number of enterprises",30
2017M09,Transport and storage,"Bankruptcies instigated, number of enterprises",9
2017M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2017M09,Other service activities,"Bankruptcies instigated, number of enterprises",56
2017M09,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2017M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2017M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",12
2017M10,Construction,"Bankruptcies instigated, number of enterprises",38
2017M10,Trade,"Bankruptcies instigated, number of enterprises",32
2017M10,Transport and storage,"Bankruptcies instigated, number of enterprises",11
2017M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",22
2017M10,Other service activities,"Bankruptcies instigated, number of enterprises",63
2017M10,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2017M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2017M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",19
2017M11,Construction,"Bankruptcies instigated, number of enterprises",36
2017M11,Trade,"Bankruptcies instigated, number of enterprises",47
2017M11,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2017M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",24
2017M11,Other service activities,"Bankruptcies instigated, number of enterprises",64
2017M11,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2017M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2017M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",20
2017M12,Construction,"Bankruptcies instigated, number of enterprises",26
2017M12,Trade,"Bankruptcies instigated, number of enterprises",31
2017M12,Transport and storage,"Bankruptcies instigated, number of enterprises",7
2017M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2017M12,Other service activities,"Bankruptcies instigated, number of enterprises",42
2017M12,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2018M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2018M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",29
2018M01,Construction,"Bankruptcies instigated, number of enterprises",56
2018M01,Trade,"Bankruptcies instigated, number of enterprises",50
2018M01,Transport and storage,"Bankruptcies instigated, number of enterprises",29
2018M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",38
2018M01,Other service activities,"Bankruptcies instigated, number of enterprises",86
2018M01,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2018M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2018M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2018M02,Construction,"Bankruptcies instigated, number of enterprises",34
2018M02,Trade,"Bankruptcies instigated, number of enterprises",48
2018M02,Transport and storage,"Bankruptcies instigated, number of enterprises",22
2018M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",19
2018M02,Other service activities,"Bankruptcies instigated, number of enterprises",72
2018M02,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2018M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2018M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",17
2018M03,Construction,"Bankruptcies instigated, number of enterprises",44
2018M03,Trade,"Bankruptcies instigated, number of enterprises",37
2018M03,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2018M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",25
2018M03,Other service activities,"Bankruptcies instigated, number of enterprises",71
2018M03,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2018M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2018M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",18
2018M04,Construction,"Bankruptcies instigated, number of enterprises",49
2018M04,Trade,"Bankruptcies instigated, number of enterprises",44
2018M04,Transport and storage,"Bankruptcies instigated, number of enterprises",12
2018M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2018M04,Other service activities,"Bankruptcies instigated, number of enterprises",68
2018M04,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2018M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2018M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",20
2018M05,Construction,"Bankruptcies instigated, number of enterprises",38
2018M05,Trade,"Bankruptcies instigated, number of enterprises",41
2018M05,Transport and storage,"Bankruptcies instigated, number of enterprises",11
2018M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2018M05,Other service activities,"Bankruptcies instigated, number of enterprises",67
2018M05,Industry unknown,"Bankruptcies instigated, number of enterprises",5
2018M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2018M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",22
2018M06,Construction,"Bankruptcies instigated, number of enterprises",51
2018M06,Trade,"Bankruptcies instigated, number of enterprises",45
2018M06,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2018M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",27
2018M06,Other service activities,"Bankruptcies instigated, number of enterprises",58
2018M06,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2018M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2018M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",12
2018M07,Construction,"Bankruptcies instigated, number of enterprises",26
2018M07,Trade,"Bankruptcies instigated, number of enterprises",29
2018M07,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2018M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2018M07,Other service activities,"Bankruptcies instigated, number of enterprises",57
2018M07,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2018M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2018M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",14
2018M08,Construction,"Bankruptcies instigated, number of enterprises",37
2018M08,Trade,"Bankruptcies instigated, number of enterprises",46
2018M08,Transport and storage,"Bankruptcies instigated, number of enterprises",22
2018M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2018M08,Other service activities,"Bankruptcies instigated, number of enterprises",80
2018M08,Industry unknown,"Bankruptcies instigated, number of enterprises",7
2018M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2018M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",15
2018M09,Construction,"Bankruptcies instigated, number of enterprises",43
2018M09,Trade,"Bankruptcies instigated, number of enterprises",47
2018M09,Transport and storage,"Bankruptcies instigated, number of enterprises",11
2018M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",20
2018M09,Other service activities,"Bankruptcies instigated, number of enterprises",63
2018M09,Industry unknown,"Bankruptcies instigated, number of enterprises",5
2018M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2018M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2018M10,Construction,"Bankruptcies instigated, number of enterprises",40
2018M10,Trade,"Bankruptcies instigated, number of enterprises",55
